site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
snodgrass3,-20.0,-20.0,17.0,-3.0,-12.0,4.8333,1.3151,snodgrass3_UN_1000,UN,2024,126.0,184.0,213.0,309.0,154.0,166.0,213.0,286.0,146.0,167.0,216.0,321.0,1.270999114708143,17.25,0.03885625756528583,0.9585938033130526,13.0,0.030022374741623975,0.8646463245213765,11.75,0.025360610235662114
arscolessouth,-15.0,-15.0,13.0,16.0,11.0,2.1667,1.1961,arscolessouth_AG_1000,AG,2024,141.0,193.0,244.0,305.0,154.0,178.0,228.0,279.0,156.0,180.0,228.0,294.0,1.2711276522534827,17.5,0.021127652253482693,1.013211752560147,13.75,0.031068895417289896,0.35740072382978016,4.75,0.018115009544065887
rosemountnprs,-30.0,-30.0,16.0,-2.0,9.0,2.3529,1.6724,rosemountnprs_AG_1000,AG,2024,101.0,181.0,223.0,320.0,130.0,164.0,207.0,265.0,131.0,165.0,225.0,311.0,2.1391270976708685,29.25,0.04984138338515428,1.0543475378502571,14.25,0.03649039499311436,1.216916907319671,16.5,0.03834547874824247
ABBY,-1.0,-1.0,-20.0,-31.0,1.0,0.881,3.0392,NEON.D16.ABBY.DP1.00042_UN_1000,UN,2024,1.0,186.0,211.0,366.0,2.0,212.0,264.0,315.0,2.0,206.0,242.0,365.0,2.4221626834254715,32.75,0.08287696913975713,1.055107341855752,13.25,0.10867877042718048,1.4780968824076501,19.5,0.08523973955050744
arsbrooks11,7.0,7.0,18.0,18.0,-15.0,2.4444,0.4804,arsbrooks11_AG_1000,AG,2024,142.0,186.0,233.0,282.0,134.0,152.0,177.0,279.0,135.0,168.0,215.0,297.0,1.8162629236840304,25.25,0.012691495112601824,1.068443054774926,14.5,0.032728769060640185,1.3398303305874422,18.25,0.03625890201601356
arscolesnorth,-18.0,-18.0,-12.0,1.0,27.0,1.4857,5.5455,arscolesnorth_AG_1000,AG,2024,141.0,193.0,244.0,305.0,161.0,196.0,254.0,265.0,159.0,205.0,243.0,278.0,1.3442842206448322,18.25,0.04071279207340372,1.069187737610583,14.5,0.03347345189629718,0.6514789358389365,8.75,0.0264789358389365
TALL,-6.0,-6.0,9.0,-40.0,5.0,0.747,1.813,NEON.D08.TALL.DP1.00042_UN_1000,UN,2024,77.0,139.0,143.0,366.0,47.0,130.0,201.0,324.0,83.0,130.0,183.0,361.0,2.545134603587903,34.75,0.06299174644504586,1.1283738879329217,15.0,0.056945316504350404,1.7028219144085186,22.75,0.07782191440851867
lostcreek,44.0,44.0,0.0,10.0,11.0,2.2308,1.2529,lostcreek_WL_1000,WL,2024,119.0,177.0,231.0,340.0,123.0,149.0,213.0,300.0,75.0,177.0,221.0,329.0,1.6708436298192584,22.5,0.06370077267640117,1.1991664040566905,16.25,0.038452118342404765,2.0429026248648587,28.25,0.025045482007716
snodgrass3,-23.0,-23.0,5.0,-27.0,-11.0,3.2222,1.4545,snodgrass3_DB_1000,DB,2024,126.0,184.0,213.0,309.0,156.0,174.0,220.0,286.0,149.0,179.0,240.0,320.0,1.3033694647892349,17.5,0.053369464789234974,1.211730077383306,16.5,0.033158648811877287,1.2211827149363936,16.5,0.04261128636496495
arsope3ltar,12.0,12.0,-22.0,20.0,14.0,0.9216,0.8936,arsope3ltar_AG_1000,AG,2024,29.0,217.0,270.0,312.0,2.0,206.0,246.0,293.0,17.0,239.0,250.0,298.0,1.5040477825200682,20.25,0.0576192110914968,1.2535772718032565,17.0,0.03929155751754233,1.0958296923183468,14.25,0.07797254946120392
bartlettir,2.0,2.0,20.0,-31.0,18.0,6.1818,1.8861,bartlettir_DB_2000,DB,2024,107.0,175.0,200.0,349.0,128.0,139.0,219.0,298.0,105.0,155.0,231.0,331.0,2.3117850422200585,31.75,0.043927899362915614,1.3034139155704236,17.75,0.03555677271328085,1.5254413074732702,21.0,0.025441307473270214
srm,19.0,19.0,-12.0,-20.0,-22.0,1.0674,0.8113,srm_GR_1000,GR,2024,21.0,227.0,229.0,272.0,28.0,221.0,226.0,279.0,2.0,239.0,249.0,294.0,0.5142975920615755,5.75,0.1035833063472898,1.3528585935311088,18.25,0.04928716495968028,1.5645601757240326,20.5,0.10027446143831845
UKFS,19.0,19.0,4.0,-33.0,20.0,2.6,0.9925,NEON.D06.UKFS.DP1.00042_UN_1000,UN,2024,85.0,150.0,206.0,338.0,95.0,120.0,198.0,331.0,66.0,146.0,239.0,318.0,0.9967699225758423,13.75,0.014627065432985224,1.3916003547766194,19.0,0.03445749763376226,1.985735326878294,27.25,0.03930675544972252
rosemountconv,-37.0,-37.0,8.0,14.0,21.0,3.1613,2.5862,rosemountconv_AG_2000,AG,2024,88.0,186.0,234.0,309.0,136.0,167.0,238.0,267.0,125.0,178.0,220.0,288.0,2.045834005662469,28.25,0.027976862805326165,1.4582125840296996,20.0,0.02964115545827099,1.1225777704992606,15.25,0.03329205621354635
huyckpreserveny,-3.0,-3.0,11.0,-41.0,29.0,3.3846,0.7572,huyckpreserveny_DB_1000,DB,2024,117.0,161.0,208.0,339.0,123.0,136.0,152.0,325.0,120.0,150.0,249.0,310.0,1.840193880114426,25.25,0.03662245154299738,1.542784187738975,21.0,0.04278418773897506,2.3506663720900796,32.25,0.047094943518651226
JERC,27.0,27.0,-26.0,-26.0,6.0,0.5515,1.3761,NEON.D03.JERC.DP1.00042_UN_1000,UN,2024,70.0,145.0,198.0,359.0,43.0,179.0,227.0,344.0,43.0,171.0,224.0,353.0,1.9458950396805907,26.25,0.07089503968059074,1.5604336283280629,21.25,0.04257648547092016,0.3906790806545273,5.0,0.03353622351167011
BART,18.0,18.0,8.0,-33.0,-29.0,0.5714,2.3095,NEON.D01.BART.DP1.00042_UN_1000,UN,2024,115.0,167.0,229.0,326.0,55.0,146.0,257.0,299.0,97.0,159.0,262.0,355.0,2.501432863068764,34.0,0.07286143449733563,1.6098199868002632,22.0,0.03839141537169177,2.1573237606448314,29.0,0.08589518921625985
vallesmixedconifer,-4.0,-4.0,-41.0,-41.0,1.0,2.9855,1.4587,vallesmixedconifer_EN_1000,EN,2024,1.0,207.0,207.0,366.0,81.0,150.0,251.0,360.0,5.0,248.0,248.0,365.0,3.4759296822846397,46.75,0.1366439679989254,1.6287406413464431,21.75,0.07516921277501454,3.3709626200782474,45.5,0.12096262007824728
gumpenstein2,5.0,5.0,8.0,-74.0,3.0,1.9394,2.8148,gumpenstein2_GR_1000,GR,2024,7.0,135.0,206.0,358.0,53.0,119.0,272.0,326.0,2.0,127.0,280.0,355.0,2.901417197951035,40.0,0.0442743408081777,1.6479998031075749,22.5,0.04085694596471765,1.7599719880531484,24.0,0.04568627376743411
STEI,52.0,52.0,-9.0,-27.0,-4.0,5.0769,2.881,NEON.D05.STEI.DP1.00042_UN_1000,UN,2024,105.0,171.0,215.0,336.0,130.0,143.0,246.0,288.0,53.0,180.0,242.0,340.0,2.3896036799534843,33.0,0.03246082281062698,1.6790100198188438,23.0,0.036152876961701004,3.0655690943208436,42.5,0.029854808606557787
arsmorris2,69.0,69.0,7.0,-1.0,-12.0,0.7004,2.0526,arsmorris2_AG_1000,AG,2024,71.0,237.0,243.0,321.0,2.0,239.0,254.0,292.0,2.0,230.0,244.0,333.0,2.072291374103998,27.75,0.09014851696114055,1.6843192472810857,22.25,0.09503353299537162,1.136108626007882,15.0,0.0646800545793107
sevilletanewgrass,-53.0,-53.0,3.0,3.0,-33.0,5.4062,2.2286,sevilletanewgrass_GR_2000,GR,2024,48.0,221.0,221.0,299.0,178.0,210.0,226.0,261.0,101.0,218.0,218.0,332.0,3.3744658368109515,46.0,0.0887515510966657,1.72745151373142,23.0,0.0845943708742771,2.9947263326710036,41.0,0.06615490409957521
merbleue,24.0,24.0,17.0,-52.0,1.0,2.4167,1.5437,merbleue_WL_1000,WL,2024,26.0,171.0,207.0,366.0,98.0,158.0,218.0,321.0,2.0,154.0,259.0,365.0,2.565784960652322,35.25,0.04792781779517909,1.730118633158724,23.5,0.051547204587295364,3.3577060121537037,46.25,0.05413458358227535
UKFS,-14.0,-14.0,17.0,-30.0,35.0,3.4211,1.5,NEON.D06.UKFS.DP1.00033_DB_1000,DB,2024,85.0,150.0,206.0,338.0,102.0,121.0,222.0,310.0,99.0,133.0,236.0,303.0,1.6256228940158466,22.5,0.01848003687298944,1.734235752985325,24.0,0.019950038699610727,0.664114316344783,9.0,0.02125717348764013
shalehillsczo,-20.0,-20.0,-6.0,-35.0,36.0,2.0968,2.1549,shalehillsczo_DB_2000,DB,2024,90.0,155.0,192.0,345.0,106.0,137.0,233.0,304.0,110.0,161.0,227.0,309.0,2.087798884938436,29.0,0.016370313509864617,1.7635604858295126,24.25,0.031417628686655395,0.7266218162208594,9.75,0.030193244792288014
blackrockforest,-14.0,-14.0,-2.0,-17.0,61.0,4.2,1.4792,blackrockforest_DB_1000,DB,2024,102.0,144.0,202.0,344.0,120.0,130.0,188.0,284.0,116.0,146.0,219.0,283.0,1.9435450078592433,26.5,0.05068786500210061,1.8256709109245404,23.5,0.14709948235311177,1.0048602231268944,13.0,0.0762887945554657
windriverunderstory,-1.0,-1.0,58.0,39.0,1.0,10.2083,0.2242,windriverunderstory_EN_1000,EN,2024,1.0,246.0,290.0,366.0,2.0,26.0,26.0,365.0,2.0,188.0,251.0,365.0,8.767510620122373,121.5,0.08893919155094335,1.8459668626532706,24.75,0.07810971979612777,6.994205818302656,96.75,0.08349153258837015
ABBY,-1.0,-1.0,-44.0,-19.0,37.0,1.2092,0.8611,NEON.D16.ABBY.DP1.00033_EN_1000,EN,2024,1.0,186.0,211.0,366.0,2.0,155.0,155.0,335.0,2.0,230.0,230.0,329.0,2.175913047243266,29.75,0.05091304724326599,1.869315348250715,25.25,0.06574391967928633,2.832085218381527,39.0,0.04637093266724141
coweeta,-14.0,-14.0,7.0,-53.0,31.0,3.25,0.9803,coweeta_DB_2000,DB,2024,91.0,143.0,200.0,349.0,104.0,120.0,183.0,335.0,105.0,136.0,253.0,318.0,1.2497285049485436,16.75,0.053299933519972136,1.9093051274104,26.25,0.03430512741039996,1.9092994177836813,26.0,0.05215656064082397
jernovel2,48.0,48.0,7.0,47.0,1.0,4.1364,1.135,jernovel2_SH_1000,SH,2024,50.0,141.0,181.0,366.0,104.0,126.0,163.0,326.0,2.0,134.0,134.0,365.0,2.3592049049633794,31.75,0.09134776210623649,1.9260512493166426,25.75,0.08676553503092846,3.2447621974971366,44.5,0.06619076892570822
montebondonegrass,12.0,12.0,33.0,-60.0,1.0,3.7826,1.3333,montebondonegrass_GR_1000,GR,2024,95.0,182.0,182.0,366.0,118.0,141.0,215.0,353.0,83.0,149.0,242.0,365.0,2.056771793175145,27.5,0.09248607888943075,1.9374049779035123,26.5,0.04454783504636952,1.5071809572589039,20.5,0.042895242973189765
jernovel2,48.0,48.0,7.0,47.0,1.0,0.2809,92.5,jernovel2_XX_1000,XX,2024,50.0,141.0,181.0,366.0,2.0,326.0,330.0,332.0,2.0,134.0,134.0,365.0,7.570027443366278,104.0,0.1414560147948494,1.9611138638515855,25.75,0.12182814956587126,7.581265701348035,105.25,0.06340855849089204
laclaflamme,-72.0,-72.0,9.0,-7.0,19.0,2.2626,3.2791,laclaflamme_WL_1000,WL,2024,1.0,225.0,225.0,366.0,107.0,206.0,217.0,260.0,73.0,216.0,232.0,347.0,4.369784688730996,59.75,0.1019275458738529,1.9776556466302369,26.75,0.06694136091595103,2.6501360067703943,36.5,0.042993149627536933
gumpenstein,5.0,5.0,17.0,-52.0,36.0,1.6,3.619,gumpenstein_GR_1000,GR,2024,7.0,135.0,206.0,358.0,44.0,124.0,268.0,310.0,2.0,118.0,258.0,322.0,2.861894732609625,39.5,0.040466161181053444,2.015767610628322,27.5,0.05148189634260797,1.2977436799899291,17.5,0.047743679989929094
snodgrass4,-9.0,-9.0,5.0,-38.0,50.0,3.2222,3.4286,snodgrass4_DB_2000,DB,2024,126.0,184.0,213.0,309.0,151.0,169.0,245.0,273.0,135.0,179.0,251.0,259.0,1.9546049253234037,27.0,0.026033496751975152,2.043496016491104,25.5,0.2220674450625323,1.065029044998429,11.5,0.2436004735698577
cperuvb,84.0,84.0,-3.0,22.0,1.0,0.1899,6.3636,cperuvb_GR_1000,GR,2024,86.0,131.0,156.0,366.0,2.0,239.0,246.0,279.0,2.0,134.0,134.0,365.0,6.635590758684898,92.25,0.04630504439918351,2.0519093079415045,27.5,0.08762359365579017,5.485667316364249,75.75,0.074953030649963
BONA,3.0,3.0,39.0,-57.0,-15.0,1.2727,1.7143,NEON.D19.BONA.DP1.00042_UN_1000,UN,2024,105.0,175.0,185.0,281.0,120.0,175.0,214.0,270.0,102.0,136.0,242.0,296.0,1.019680601957464,13.75,0.03753774481460688,2.0815937597502105,28.5,0.04587947403592479,2.0097554158167013,27.75,0.02761255867384386
BONA,58.0,58.0,-25.0,-20.0,-2.0,0.8537,1.4545,NEON.D19.BONA.DP1.00033_EN_1000,EN,2024,105.0,175.0,185.0,281.0,88.0,170.0,229.0,295.0,47.0,200.0,205.0,283.0,1.4723304682757765,20.0,0.04375903970434799,2.0871380405324937,26.25,0.2121380405324938,2.047849690351735,26.75,0.13713540463744947
merbleue,-46.0,-46.0,4.0,-25.0,40.0,3.9189,2.4462,merbleue_DN_1000,DN,2024,26.0,171.0,207.0,366.0,109.0,146.0,252.0,317.0,72.0,167.0,232.0,326.0,3.6384929610820036,50.5,0.0313501039391466,2.09467321906669,28.75,0.041101790495261616,1.5927773397394767,21.75,0.03920591116804816
MLBS,-18.0,-18.0,25.0,-34.0,38.0,5.0,1.8506,NEON.D07.MLBS.DP1.00033_DB_2000,DB,2024,100.0,175.0,197.0,358.0,122.0,137.0,212.0,299.0,118.0,150.0,231.0,320.0,2.4231014506757638,33.5,0.030244307818620853,2.097491656622423,28.75,0.043920228050994374,1.0542656927028542,14.25,0.03640854984571129
russellsage,-16.0,-16.0,31.0,59.0,1.0,2.6154,1.687,russellsage_DB_1000,DB,2024,65.0,133.0,172.0,366.0,77.0,103.0,250.0,365.0,81.0,102.0,113.0,365.0,2.1774884507456176,30.25,0.01677416503133178,2.123027683742201,26.75,0.21231339802791505,2.7282331864692266,35.5,0.192518900754941
bnzoldbog,21.0,21.0,21.0,65.0,-4.0,1.4828,0.8462,bnzoldbog_EN_1000,EN,2024,62.0,191.0,235.0,301.0,76.0,163.0,220.0,298.0,41.0,170.0,170.0,305.0,1.098125165442419,15.0,0.026696594013847483,2.133608175438836,27.75,0.1514653182959787,1.914039110917922,24.75,0.1461819680607793
ibp,43.0,43.0,-67.0,2.0,-4.0,3.6,0.8661,ibp_SH_1000,SH,2024,79.0,133.0,242.0,339.0,108.0,123.0,225.0,337.0,36.0,200.0,240.0,343.0,1.0939057953210731,14.5,0.05819150960678733,2.182691271770635,29.0,0.11126270034206343,3.1461314142199175,42.5,0.11041712850563211
MLBS,-17.0,-17.0,27.0,-29.0,46.0,3.9474,3.0377,NEON.D07.MLBS.DP1.00042_UN_1000,UN,2024,100.0,175.0,197.0,358.0,120.0,139.0,227.0,280.0,117.0,148.0,226.0,312.0,2.972868605888086,41.0,0.04429717731665771,2.1827247643928906,29.75,0.0577247643928907,0.8558846172547849,11.25,0.052313188683356285
rosalia,-17.0,-17.0,-70.0,3.0,-19.0,0.3032,1.3048,rosalia_EN_1000,EN,2024,69.0,136.0,209.0,346.0,2.0,223.0,260.0,365.0,86.0,206.0,206.0,365.0,4.097330926469504,56.0,0.09733092646950385,2.2018604663781858,27.25,0.2554318949496142,2.8931545451567113,38.75,0.12529740229956865
tfforest,-14.0,-14.0,17.0,-58.0,32.0,3.5,1.1855,tfforest_DB_1002,DB,2024,115.0,164.0,196.0,343.0,126.0,140.0,187.0,311.0,129.0,147.0,254.0,311.0,1.425272725656942,19.0,0.06812986851408467,2.209400000188805,30.25,0.04868571447451932,1.4322343585867923,19.25,0.057234358586792315
KING,47.0,47.0,0.0,-54.0,21.0,2.75,1.7375,NEON.D06.KING.DP1.20002_WL_2000,WL,2024,86.0,152.0,198.0,337.0,95.0,119.0,238.0,318.0,39.0,152.0,252.0,316.0,1.8259137013839517,25.25,0.022342272812523205,2.22466628355449,30.5,0.04609485498306191,1.9224798987266658,26.25,0.047479898726665755
ibp,46.0,46.0,-67.0,2.0,-4.0,3.8571,0.8509,ibp_SH_1002,SH,2024,79.0,133.0,242.0,339.0,108.0,122.0,222.0,336.0,33.0,200.0,240.0,343.0,1.1802597590922057,15.75,0.05525975909220568,2.2386416456048575,29.75,0.11364164560485727,3.2849877285412563,44.5,0.10641629996982802
cedarmesa,-1.0,-1.0,53.0,36.0,-34.0,1.6164,0.3291,cedarmesa_XX_1000,XX,2024,1.0,237.0,249.0,275.0,40.0,186.0,230.0,309.0,2.0,184.0,213.0,309.0,2.673175896731712,35.75,0.11960446816028387,2.2656753234344222,31.0,0.05138960914870774,1.1159933378213112,14.25,0.09813619496416841
tfforest,-7.0,-7.0,14.0,-52.0,53.0,3.2667,1.3486,tfforest_DB_1000,DB,2024,115.0,164.0,196.0,343.0,125.0,140.0,197.0,306.0,122.0,150.0,248.0,290.0,1.3335950754715329,18.0,0.04788078975724711,2.299198599750816,31.5,0.049198599750816106,1.4968028699555231,20.0,0.06823144138409462
montebondonepeat,-38.0,-38.0,8.0,-18.0,64.0,5.3158,3.1852,montebondonepeat_WL_1000,WL,2024,82.0,183.0,194.0,366.0,146.0,165.0,197.0,251.0,120.0,175.0,212.0,302.0,3.7089531451485196,50.0,0.13752457371994795,2.3198502536056433,32.0,0.03413596789135792,1.9387058307217353,25.5,0.11727725929316397
canadaOBS,-1.0,-1.0,-49.0,-76.0,1.0,1.3158,3.3077,canadaOBS_EN_1000,EN,2024,1.0,151.0,151.0,366.0,64.0,178.0,253.0,318.0,2.0,200.0,227.0,365.0,4.417074729787106,60.0,0.1313604440728199,2.3348491985620234,31.75,0.06699205570488055,2.873746042178529,39.25,0.07017461360710048
uiefmiscanthus2,-33.0,-33.0,47.0,-41.0,9.0,5.069,3.087,uiefmiscanthus2_AG_1000,AG,2024,68.0,215.0,242.0,313.0,122.0,151.0,279.0,302.0,101.0,168.0,283.0,304.0,2.9929714713982736,41.5,0.028685757112559218,2.3548214256967634,32.5,0.03339285426819185,0.8270384457185501,11.0,0.04132416000426438
niwot3,-1.0,-1.0,61.0,61.0,1.0,3.2072,0.1023,niwot3_EN_1000,EN,2024,1.0,357.0,357.0,366.0,75.0,186.0,243.0,331.0,2.0,296.0,296.0,365.0,7.2108672935212486,98.5,0.17515300780696308,2.36965978350139,31.0,0.15537406921567565,5.034236948008093,67.5,0.212808376579522
JERC,-3.0,-3.0,-88.0,-35.0,-6.0,0.4386,1.6771,NEON.D03.JERC.DP1.00033_EN_2000,EN,2024,70.0,145.0,198.0,359.0,50.0,221.0,235.0,331.0,73.0,233.0,233.0,365.0,2.929776697842147,40.25,0.054776697842147073,2.424736444229131,33.0,0.0675935870862738,1.324737384602,17.75,0.05688024174485719
mead1,-110.0,-110.0,27.0,0.0,0.0,8.3333,3.7692,mead1_AG_1000,AG,2024,51.0,226.0,244.0,293.0,163.0,184.0,261.0,274.0,161.0,199.0,244.0,293.0,3.4334393032727424,47.5,0.04058216041559957,2.4792963000387807,34.25,0.03286772861020899,0.9838807328950645,13.25,0.03745216146649308
kansas,53.0,53.0,20.0,-15.0,47.0,2.2653,1.96,kansas_GR_2000,GR,2024,66.0,177.0,182.0,329.0,81.0,130.0,201.0,276.0,13.0,157.0,197.0,282.0,2.412073627748401,33.5,0.01921648489125847,2.4894554179771604,33.75,0.07874113226287474,1.9484940978882583,26.25,0.07349409788825827
arsltarucbec2,-99.0,-99.0,23.0,13.0,7.0,2.3182,0.4959,arsltarucbec2_AG_1000,AG,2024,56.0,209.0,251.0,312.0,125.0,191.0,191.0,314.0,155.0,186.0,238.0,305.0,2.7007036609301145,37.25,0.039989375215828904,2.5698940528059078,35.5,0.03417976709162211,1.6596656012451025,22.75,0.03466560124510243
hubbardbrook,-66.0,-66.0,47.0,-25.0,5.0,10.2667,1.6393,hubbardbrook_DB_3000,DB,2024,47.0,201.0,220.0,320.0,124.0,139.0,233.0,294.0,113.0,154.0,245.0,315.0,3.215032063119905,44.5,0.036460634548476895,2.5828600768286543,35.75,0.02928864825722566,1.0751043735906027,14.75,0.02153294501917411
hubbardbrook,-65.0,-65.0,46.0,-24.0,11.0,9.625,1.7544,hubbardbrook_DB_3001,DB,2024,47.0,201.0,220.0,320.0,124.0,140.0,232.0,289.0,112.0,155.0,244.0,309.0,3.272541035130331,45.25,0.040398177987473596,2.6365471269834893,36.5,0.029404269840632033,1.0799023686709819,14.75,0.02633094009955326
sevmvecreo11redinc,71.0,71.0,9.0,9.0,-59.0,0.8831,0.4059,sevmvecreo11redinc_SH_1000,SH,2024,85.0,221.0,230.0,271.0,55.0,209.0,209.0,310.0,14.0,212.0,221.0,330.0,1.8705817758797507,25.5,0.04915320445117935,2.709226142932047,37.0,0.06636900007490446,1.432295197877436,19.0,0.07515234073457892
