site,lag,lag_sos,lag_mos,lag_dos,lag_eos,greenup_comp,senescence_comp,roi,veg,year,gvf_sos,gvf_mos,gvf_dos,gvf_eos,gcc_sos,gcc_mos,gcc_dos,gcc_eos,ndvi_sos,ndvi_mos,ndvi_dos,ndvi_eos,gvf_vs_gcc_div,gvf_vs_gcc_gap,gvf_vs_gcc_dtw,gvf_vs_ndvi_div,gvf_vs_ndvi_gap,gvf_vs_ndvi_dtw,gcc_vs_ndvi_div,gcc_vs_ndvi_gap,gcc_vs_ndvi_dtw
cpertgm,7.0,7.0,21.0,24.0,-5.0,2.8182,0.8817,cpertgm_GR_1000,GR,2023,124.0,186.0,197.0,279.0,133.0,155.0,167.0,260.0,117.0,165.0,173.0,284.0,1.654536217438564,22.25,0.06525050315284976,1.0580810720065812,14.25,0.0402239291494383,1.025563398459693,14.0,0.025563398459692927
kansas,2.0,2.0,23.0,-18.0,15.0,1.6,1.4835,kansas_GR_2000,GR,2023,85.0,165.0,202.0,337.0,90.0,140.0,200.0,291.0,83.0,142.0,220.0,322.0,1.4241307740135523,19.5,0.03127363115640939,1.0612782453546235,14.5,0.025563959640337603,1.0971410235559063,15.0,0.02571245212733487
bigtraillake,11.0,11.0,41.0,-4.0,-2.0,1.3051,1.1039,bigtraillake_EN_1000,EN,2023,118.0,195.0,218.0,303.0,105.0,164.0,224.0,301.0,107.0,154.0,222.0,305.0,0.9802214619717816,13.0,0.051650033400353006,1.0979141699459083,14.5,0.06219988423162238,0.39780940998810255,4.5,0.07638083855953108
harvardems2,-21.0,-21.0,12.0,-25.0,-4.0,7.0,0.7639,harvardems2_DB_1000,DB,2023,101.0,164.0,227.0,337.0,124.0,133.0,215.0,359.0,122.0,152.0,252.0,341.0,1.641193364035655,22.0,0.06976479260708365,1.1459053141519624,15.5,0.03876245700910513,1.4258320687825052,19.0,0.06868921163964795
cafcookeastltar01,-4.0,-4.0,32.0,15.0,14.0,5.0,3.5625,cafcookeastltar01_AG_1000,AG,2023,108.0,178.0,186.0,243.0,119.0,133.0,181.0,197.0,112.0,146.0,171.0,229.0,1.9478295547846587,26.75,0.037115269070372985,1.1842385746613215,16.25,0.02352428894703574,1.1391571260625935,15.5,0.03201426891973626
HARV,-5.0,-5.0,6.0,-39.0,16.0,,0.7692,NEON.D01.HARV.DP1.00033_DB_1000,DB,2023,101.0,164.0,227.0,337.0,2.0,2.0,212.0,355.0,106.0,158.0,266.0,321.0,5.298804134624395,73.5,0.04880413462439444,1.2303955181763386,16.5,0.05182408960490996,6.263044494298283,87.0,0.04875878001256838
hubbardbrook,3.0,3.0,6.0,-36.0,22.0,4.0,1.3947,hubbardbrook_DB_3000,DB,2023,111.0,159.0,220.0,326.0,124.0,136.0,231.0,307.0,108.0,153.0,256.0,304.0,1.2076357470744932,16.5,0.029064318503064544,1.2352592943771838,16.75,0.0388307229486125,1.1113425029732074,15.25,0.022056788687493188
montebondonegrass,13.0,13.0,26.0,-21.0,-8.0,3.6154,0.8286,montebondonegrass_GR_1000,GR,2023,83.0,177.0,183.0,357.0,114.0,140.0,155.0,365.0,70.0,151.0,204.0,365.0,1.9117236089182046,26.0,0.054580751775347304,1.2602306125276144,17.0,0.04594489824190013,1.9012299534144594,26.0,0.04408709627160231
cperagm,36.0,36.0,1.0,13.0,-20.0,1.5588,1.0778,cperagm_GR_1000,GR,2023,121.0,174.0,187.0,284.0,125.0,159.0,190.0,280.0,85.0,173.0,174.0,304.0,0.5440970708105249,6.5,0.07981135652481065,1.2800703092552328,17.5,0.030070309255232838,1.7277573857732613,23.5,0.04918595720183268
hubbardbrook,-2.0,-2.0,5.0,-41.0,22.0,3.2,1.7097,hubbardbrook_DB_3001,DB,2023,111.0,159.0,220.0,326.0,123.0,138.0,238.0,300.0,113.0,154.0,261.0,304.0,1.406511151257855,19.25,0.03151115125785493,1.2813791876586564,17.5,0.03137918765865633,0.9730615139727307,13.25,0.026632942544159308
BONA,1.0,1.0,29.0,-26.0,-15.0,1.9545,2.1852,NEON.D19.BONA.DP1.00042_UN_1000,UN,2023,111.0,197.0,219.0,278.0,140.0,184.0,233.0,260.0,110.0,168.0,245.0,293.0,1.3632235640635204,18.5,0.04179499263494901,1.310458694449776,17.75,0.04260155159263321,1.6462051653334182,22.75,0.021205165333418197
harvardbarn,-2.0,-2.0,-4.0,-46.0,20.0,3.1818,0.7544,harvardbarn_DB_1000,DB,2023,115.0,150.0,218.0,347.0,124.0,135.0,183.0,354.0,117.0,154.0,264.0,327.0,1.207854172305499,16.5,0.029282743734070287,1.3262073271385373,18.0,0.04049304142425143,2.4289108884650985,33.5,0.03605374560795581
meadpasturesw,29.0,29.0,-2.0,9.0,-32.0,0.9388,0.5441,meadpasturesw_AG_1000,AG,2023,62.0,200.0,243.0,280.0,52.0,199.0,224.0,292.0,33.0,202.0,234.0,312.0,0.8011046751445897,10.5,0.05110467514458976,1.3324615364289227,18.0,0.04674725071463696,0.9596594809234851,13.0,0.03108805235205649
rosemountnprs,-29.0,-29.0,27.0,15.0,-5.0,5.75,0.9216,rosemountnprs_AG_1000,AG,2023,103.0,195.0,225.0,319.0,143.0,159.0,203.0,305.0,132.0,168.0,210.0,324.0,2.0657659361679954,28.0,0.06576593616799542,1.4074483987199147,19.0,0.05030554157705743,0.8844237561378618,11.5,0.06299518470929039
arkansaswhitaker,17.0,17.0,11.0,22.0,27.0,1.4194,1.1667,arkansaswhitaker_AG_1000,AG,2023,131.0,175.0,227.0,283.0,131.0,162.0,203.0,251.0,114.0,164.0,205.0,256.0,1.2718620662317413,17.25,0.03971920908888412,1.4122980374552885,19.25,0.03729803745528843,0.506761422401722,6.5,0.042475708116007656
SCBI,-11.0,-11.0,30.0,-11.0,26.0,3.8333,1.931,NEON.D02.SCBI.DP1.00033_DB_1000,DB,2023,78.0,147.0,237.0,349.0,87.0,105.0,261.0,319.0,89.0,117.0,248.0,323.0,1.8945607153294082,26.25,0.019560715329408136,1.4207437856198486,19.5,0.02788664276270577,0.5740196818949551,7.75,0.02044825332352656
BART,-3.0,-3.0,16.0,-34.0,26.0,8.875,1.3452,NEON.D01.BART.DP1.00033_DB_1000,DB,2023,101.0,172.0,221.0,334.0,125.0,133.0,219.0,303.0,104.0,156.0,255.0,308.0,1.7494996348944778,24.0,0.0352139206087635,1.442934892404528,19.75,0.03222060669024218,1.5478358524681732,21.25,0.029978709611030396
jershrubland2,57.0,57.0,-5.0,0.0,14.0,0.4375,2.0192,jershrubland2_XX_1000,XX,2023,59.0,150.0,155.0,365.0,5.0,213.0,256.0,360.0,2.0,155.0,155.0,351.0,4.068474016422359,55.75,0.08633115927950123,1.4558974335405972,19.0,0.09875457639774007,3.1109825599271796,42.75,0.05741113135575148
cperuvb,11.0,11.0,27.0,25.0,17.0,1.9333,0.9438,cperuvb_GR_1000,GR,2023,122.0,180.0,183.0,267.0,120.0,150.0,161.0,250.0,111.0,153.0,158.0,250.0,1.2994175186639445,17.75,0.031560375806801697,1.469617048788425,20.0,0.04104562021699646,0.30488471539475337,3.75,0.03702757253761049
meadpasture,27.0,27.0,9.0,13.0,-34.0,1.0,0.4744,meadpasture_AG_1000,AG,2023,62.0,200.0,243.0,280.0,53.0,191.0,226.0,304.0,35.0,191.0,230.0,314.0,1.109901332334366,14.75,0.05632990376293755,1.5231702929584305,20.75,0.04102743581557342,0.6008196747106194,8.0,0.02939110328204798
siikanevabogforest,33.0,33.0,26.0,-4.0,-20.0,1.3673,0.7094,siikanevabogforest_UN_1000,UN,2023,97.0,164.0,214.0,297.0,118.0,167.0,193.0,310.0,64.0,138.0,218.0,317.0,1.1414445210779716,14.5,0.10573023536368574,1.5406144557954322,20.75,0.05847159865257512,2.119528661590273,28.75,0.06595723301884474
tfforest,-4.0,-4.0,9.0,-59.0,13.0,5.2,0.9032,tfforest_DB_1002,DB,2023,107.0,159.0,199.0,339.0,123.0,133.0,195.0,350.0,111.0,150.0,258.0,326.0,1.0553641459837215,14.25,0.03750700312657868,1.5452394129091747,21.25,0.0273822700520318,2.108351893124904,29.0,0.036923321696332355
jernovel,5.0,5.0,-4.0,-66.0,-8.0,7.6154,1.1444,jernovel_SH_1000,SH,2023,52.0,151.0,151.0,357.0,114.0,127.0,178.0,358.0,47.0,155.0,217.0,365.0,2.0715965531310383,28.5,0.0358822674167529,1.548991262789937,20.75,0.06684840564707976,2.586659329708581,35.25,0.06880218685143828
jernovel2,49.0,49.0,14.0,15.0,-4.0,0.7852,0.8431,jernovel2_XX_1000,XX,2023,51.0,157.0,189.0,361.0,2.0,137.0,161.0,365.0,2.0,143.0,174.0,365.0,1.8641909217956394,25.25,0.06061949322421078,1.5597143388226495,20.5,0.09542862453693525,0.4010578638337112,4.75,0.0617721495479969
siikanevabog,18.0,18.0,21.0,23.0,19.0,1.2182,1.66,siikanevabog_WL_1000,WL,2023,97.0,164.0,214.0,297.0,132.0,187.0,226.0,276.0,79.0,143.0,191.0,278.0,1.6632649943749245,22.75,0.03826499437492448,1.5710069846675776,20.25,0.12457841323900622,2.4592764613891838,33.5,0.06641931853204103
TALL,2.0,2.0,30.0,48.0,5.0,1.8649,0.8446,NEON.D08.TALL.DP1.00042_UN_1000,UN,2023,76.0,145.0,212.0,337.0,74.0,111.0,181.0,329.0,74.0,115.0,164.0,332.0,1.4233620296206546,18.75,0.08407631533494034,1.573696422221262,21.25,0.05583927936411905,0.47374467724922326,6.0,0.045173248677794715
HARV,20.0,20.0,5.0,-34.0,25.0,3.5,2.619,NEON.D01.HARV.DP1.00042_UN_1000,UN,2023,101.0,164.0,227.0,337.0,123.0,141.0,267.0,309.0,81.0,159.0,261.0,312.0,2.057791459450727,28.25,0.039934316593584505,1.5852871807598201,21.0,0.08528718075982018,1.3272351989082734,17.25,0.09509234176541621
jergrassland2,-39.0,-39.0,9.0,-17.0,22.0,7.0,1.1034,jergrassland2_SH_1000,SH,2023,53.0,158.0,171.0,363.0,116.0,131.0,168.0,342.0,92.0,149.0,188.0,341.0,2.076603295744932,28.5,0.04088901003064635,1.598223455183371,21.75,0.04465202661194232,1.1580956866002206,15.75,0.03309568660022066
coweeta,-26.0,-26.0,18.0,-21.0,24.0,3.64,0.6089,coweeta_DB_2000,DB,2023,68.0,159.0,236.0,345.0,97.0,122.0,163.0,342.0,94.0,141.0,257.0,321.0,2.576862087317608,35.5,0.04114780160332225,1.6303146092070406,22.25,0.041028894921326484,2.481254502089881,34.25,0.034825930661309505
UKFS,-18.0,-18.0,20.0,-23.0,30.0,2.2727,1.2404,NEON.D06.UKFS.DP1.00042_UN_1000,UN,2023,85.0,160.0,213.0,342.0,96.0,129.0,214.0,318.0,103.0,140.0,236.0,312.0,1.2184489695168583,16.75,0.02202039808828689,1.6442945949255692,22.75,0.019294594925569213,0.8390435447546961,11.5,0.017614973326124668
MLBS,-3.0,-3.0,17.0,-30.0,38.0,4.1875,2.0156,NEON.D07.MLBS.DP1.00042_UN_1000,UN,2023,109.0,176.0,217.0,346.0,124.0,140.0,230.0,294.0,112.0,159.0,247.0,308.0,2.099514440489887,29.0,0.028085869061315202,1.6593904456341657,22.0,0.08796187420559425,1.2302262930138779,15.5,0.12308343587102068
jernovel2,-60.0,-60.0,23.0,6.0,-4.0,8.8333,0.8687,jernovel2_SH_1000,SH,2023,51.0,157.0,189.0,361.0,115.0,127.0,167.0,365.0,111.0,134.0,183.0,365.0,2.182078841998322,30.0,0.03922169914117904,1.7060014284745681,23.25,0.045287142760282395,0.5265748889016579,6.75,0.04443203175880084
tfforest,0.0,0.0,1.0,-64.0,30.0,2.6,1.0769,tfforest_DB_1000,DB,2023,107.0,159.0,199.0,339.0,120.0,140.0,204.0,334.0,107.0,158.0,263.0,309.0,0.78706469027844,10.5,0.037064690278440005,1.7245180484868288,23.75,0.02808947705825736,2.0885006154113057,28.75,0.03492918683987733
mandani2,-52.0,-52.0,4.0,-3.0,36.0,2.6176,1.8852,mandani2_AG_1000,AG,2023,103.0,192.0,223.0,338.0,156.0,190.0,230.0,291.0,155.0,188.0,226.0,302.0,1.9931031346738413,27.25,0.04667456324526989,1.7269387861344492,23.75,0.0305102147058777,0.3685255888041125,4.5,0.047097017375541055
anisclo,-26.0,-26.0,33.0,-27.0,7.0,5.5714,0.84,anisclo_EB_1000,EB,2023,81.0,198.0,209.0,356.0,110.0,131.0,188.0,363.0,107.0,165.0,236.0,349.0,2.2946723420311006,31.0,0.08038662774538603,1.7412253510121758,23.25,0.08051106529788997,1.796304672257443,24.75,0.028447529400300185
sevilletashrub,41.0,41.0,34.0,19.0,-1.0,0.9955,0.7647,sevilletashrub_SH_1000,SH,2023,43.0,264.0,268.0,307.0,17.0,239.0,256.0,307.0,2.0,230.0,249.0,308.0,1.1876885024145298,15.75,0.06268850241452992,1.7690262061236133,23.75,0.07259763469504187,0.6349784205037223,8.0,0.06354984907515099
rosemountconv,-53.0,-53.0,-17.0,-8.0,19.0,2.2895,5.8333,rosemountconv_AG_2000,AG,2023,99.0,186.0,231.0,301.0,162.0,200.0,254.0,266.0,152.0,203.0,239.0,282.0,2.4497377013565957,33.75,0.039023415642310065,1.7738322068774663,24.25,0.04168934973460918,0.842391346918382,11.0,0.05667706120409637
sevilletagrass,41.0,41.0,-8.0,9.0,-36.0,0.8144,4.9091,sevilletagrass_GR_1000,GR,2023,43.0,258.0,275.0,329.0,2.0,266.0,273.0,284.0,2.0,266.0,266.0,365.0,1.807073777786041,24.0,0.09278806350032681,1.7859570557211235,23.5,0.10738562714969498,1.6673200974450675,22.0,0.09589152601649618
bnzoldbog,65.0,65.0,-20.0,-6.0,-6.0,0.9167,1.5938,bnzoldbog_EN_1000,EN,2023,106.0,183.0,197.0,299.0,87.0,171.0,235.0,299.0,41.0,203.0,203.0,305.0,1.2690898754643787,17.25,0.036947018321521495,1.796218946452384,24.25,0.0640760893095267,2.1647093306093175,29.0,0.09328075918074569
SJER,-1.0,-1.0,64.0,18.0,16.0,2.413,2.4444,NEON.D17.SJER.DP1.00042_GR_1000,GR,2023,1.0,112.0,120.0,164.0,2.0,48.0,104.0,122.0,2.0,48.0,102.0,148.0,2.266750833815527,30.75,0.07032226238695531,1.8347624708036108,24.75,0.066905327946468,0.5344802273398581,7.0,0.03448022733985814
bnzoldbog,6.0,6.0,23.0,-68.0,5.0,1.2222,3.9231,bnzoldbog_WL_1000,WL,2023,106.0,183.0,197.0,299.0,129.0,192.0,237.0,263.0,100.0,160.0,265.0,294.0,1.9613539813037777,27.0,0.0327825527323492,1.8597248465541703,25.5,0.0382962751255989,2.1816155831315784,30.0,0.03875844027443573
sagehen,-1.0,-1.0,-59.0,-10.0,26.0,0.7365,1.1377,sagehen_EN_1000,EN,2023,1.0,124.0,208.0,365.0,31.0,198.0,227.0,365.0,2.0,183.0,218.0,339.0,2.3362061113613883,30.75,0.13977753993281694,1.8880185337483566,24.0,0.17373281946264243,1.5521476718235958,19.75,0.14143338610930994
sweetbriar,-11.0,-11.0,34.0,-43.0,15.0,3.8889,0.6792,sweetbriar_DB_1000,DB,2023,74.0,144.0,208.0,352.0,86.0,104.0,153.0,365.0,85.0,110.0,251.0,337.0,2.170685704095536,30.0,0.027828561238393078,1.89430803167029,25.75,0.05502231738457589,2.4370486771907856,33.25,0.06204867719078544
uiefmiscanthus2,-18.0,-18.0,42.0,-31.0,-14.0,3.5625,1.7317,uiefmiscanthus2_AG_1000,AG,2023,94.0,208.0,241.0,312.0,126.0,158.0,274.0,315.0,112.0,166.0,272.0,326.0,2.1265096695492334,29.5,0.019366812406376326,1.900955020829185,26.25,0.02595502082918494,0.643942334332229,8.75,0.018942334332229065
montebondonepeat,-42.0,-42.0,7.0,22.0,35.0,3.7419,2.0364,montebondonepeat_WL_1000,WL,2023,70.0,186.0,233.0,345.0,142.0,173.0,204.0,259.0,112.0,179.0,211.0,310.0,3.682601343341072,50.0,0.11117277191250041,1.9183429529306815,26.5,0.0254858100735387,1.778835280893309,23.5,0.10026385232188043
ninemileprairie,41.0,41.0,40.0,-10.0,-16.0,4.36,0.6771,ninemileprairie_DB_2000,DB,2023,101.0,210.0,227.0,292.0,116.0,141.0,218.0,314.0,60.0,170.0,237.0,308.0,2.0783099293871294,28.75,0.024738500815701205,1.9563136952160611,26.75,0.04559940950177535,2.0082160156876423,27.5,0.04393030140192818
arsltarucbec1,-80.0,-80.0,-14.0,-7.0,7.0,3.1714,1.24,arsltarucbec1_AG_1000,AG,2023,82.0,193.0,249.0,311.0,162.0,197.0,246.0,296.0,162.0,207.0,256.0,304.0,1.847606487974546,25.5,0.0261779165459745,1.972330587558821,27.0,0.04375915898739253,0.5347764422641549,7.0,0.03477644226415492
BLUE,-16.0,-16.0,-1.0,-62.0,30.0,2.4062,1.5514,NEON.D11.BLUE.DP1.20002_DB_1000,DB,2023,61.0,138.0,199.0,365.0,78.0,110.0,234.0,341.0,77.0,139.0,261.0,335.0,1.8882768352024868,26.0,0.031133978059629575,1.976033379012922,27.25,0.029604807584350693,1.1474634437501716,15.75,0.02246344375017154
UKFS,-26.0,-26.0,21.0,-25.0,40.0,3.5714,1.4022,NEON.D06.UKFS.DP1.00033_DB_1000,DB,2023,85.0,160.0,213.0,342.0,107.0,128.0,220.0,312.0,111.0,139.0,238.0,302.0,1.6476301752978777,22.75,0.0226301752978776,2.019551650136491,28.0,0.019551650136491065,0.7874757723046724,10.75,0.019618629447529408
JERC,-75.0,-75.0,-24.0,-9.0,-4.0,0.9363,1.593,NEON.D03.JERC.DP1.00033_EN_2000,EN,2023,42.0,189.0,224.0,361.0,70.0,227.0,239.0,325.0,117.0,213.0,233.0,365.0,2.1510348894487907,29.25,0.061749175163076195,2.080062524530253,28.0,0.080062524530253,1.959371906167884,26.75,0.0486576204535983
CPER,16.0,16.0,34.0,36.0,31.0,1.9143,1.1553,NEON.D10.CPER.DP1.00033_GR_1000,GR,2023,121.0,188.0,194.0,313.0,115.0,150.0,161.0,264.0,105.0,154.0,158.0,282.0,2.26320261849794,31.5,0.013202618497939949,2.127256339199145,29.25,0.037970624913430236,0.6610205295058212,8.75,0.03602052950582121
windriverunderstory,-33.0,-33.0,7.0,-36.0,-39.0,1.1887,0.5196,windriverunderstory_EN_1000,EN,2023,1.0,190.0,219.0,325.0,2.0,161.0,161.0,365.0,34.0,183.0,255.0,364.0,2.352513997272481,32.0,0.0667997115581954,2.1320055145948635,28.75,0.07843408602343536,2.743506093417919,37.25,0.08279180770363362
laclaflamme,9.0,9.0,-29.0,-43.0,37.0,1.2698,2.9811,laclaflamme_WL_1000,WL,2023,102.0,182.0,207.0,365.0,127.0,190.0,226.0,279.0,93.0,211.0,250.0,328.0,2.5366484728520198,34.5,0.07236275856630542,2.184041485609611,29.5,0.07689862846675372,2.3092827829614175,32.0,0.023568497247131958
mead2,-87.0,-87.0,19.0,13.0,3.0,4.5,0.7969,mead2_AG_2000,AG,2023,57.0,192.0,241.0,292.0,143.0,173.0,219.0,283.0,144.0,173.0,228.0,289.0,2.4716578283554744,34.0,0.04308639978404594,2.2259684055662334,30.5,0.047396976994804836,0.336237155910678,4.0,0.05052287019639228
JORN,58.0,58.0,-21.0,15.0,-26.0,0.8305,1.0211,NEON.D14.JORN.DP1.00042_GR_1000,GR,2023,60.0,158.0,194.0,339.0,31.0,149.0,190.0,332.0,2.0,179.0,179.0,365.0,0.9642258698762993,12.25,0.08922586987629934,2.2478559308555104,30.0,0.10499878799836751,1.9032501284828807,25.75,0.06396441419716643
siikanevabogforest,68.0,68.0,4.0,-33.0,-20.0,0.5447,0.9222,siikanevabogforest_EN_1000,EN,2023,97.0,164.0,214.0,297.0,33.0,156.0,227.0,317.0,29.0,160.0,247.0,317.0,1.9349926496891288,26.25,0.05999264968912886,2.2850569597184482,31.25,0.0529141025755912,0.5578177583772159,7.0,0.05781775837721588
shalehillsczo,-9.0,-9.0,-7.0,-64.0,46.0,1.1475,2.8167,shalehillsczo_DB_2000,DB,2023,98.0,168.0,187.0,356.0,94.0,155.0,243.0,303.0,107.0,175.0,251.0,310.0,2.303884526554822,31.5,0.05388452655482185,2.318924734336829,31.5,0.06892473433682926,0.9447178295476554,12.0,0.0875749724047983
harvardfarmnorth,13.0,13.0,24.0,74.0,-17.0,2.2857,0.6351,harvardfarmnorth_AG_1000,AG,2023,85.0,149.0,214.0,348.0,95.0,123.0,154.0,365.0,72.0,125.0,140.0,365.0,2.0775460041913156,28.25,0.05968886133417306,2.3484999989958566,32.0,0.06278571328157112,0.7428945060232822,9.75,0.046465934594710795
JERC,-21.0,-21.0,83.0,-19.0,7.0,4.9,0.9195,NEON.D03.JERC.DP1.00033_DB_1000,DB,2023,42.0,189.0,224.0,361.0,64.0,94.0,207.0,356.0,63.0,106.0,243.0,354.0,2.5316010639776665,34.75,0.04945820683480907,2.3635748153302414,32.5,0.042146243901669725,0.93844808892485,12.75,0.027733803210564293
sevmvecreo7ambinc,-113.0,-113.0,3.0,5.0,9.0,2.6786,0.4048,sevmvecreo7ambinc_SH_1000,SH,2023,41.0,266.0,271.0,305.0,152.0,236.0,236.0,320.0,154.0,263.0,266.0,296.0,3.4763998976943684,47.75,0.06568561198008305,2.380005543273889,32.5,0.058576971845317675,1.5752854869679767,20.75,0.09314262982511942
